ITERATION	TESTCASE	DESCRIPTION	TRACKID	STARTDATE	ENDDATE	TASK	COUNTERS	VALUE(ms)	SIZE	NAME	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,09	09.51.40,09	RESOURCE	NETWORK	9	27836	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,135,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,09	09.51.40,10	RESOURCE	NETWORK	10	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,593,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,09	09.51.40,10	RESOURCE	NETWORK	10	33750	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,131,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,10	09.51.40,10	RESOURCE	NETWORK	9	20559	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,282,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,10	09.51.40,11	RESOURCE	NETWORK	9	6588	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,281,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,10	09.51.40,11	RESOURCE	NETWORK	8	6588	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,351,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,11	09.51.40,12	RESOURCE	NETWORK	10	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,136,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,11	09.51.40,12	RESOURCE	NETWORK	9	29461	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,141,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,12	09.51.40,13	RESOURCE	NETWORK	9	35561	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,133,13	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,12	09.51.40,13	RESOURCE	NETWORK	8	10269	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,76,2	
